"nid","parent_nid","name","serial","type","latitude","longitude","status"
"1","0","Provinsi Papua","91","1","-4.640034","140.514452","1"
"2","0","Provinsi Papua Barat","92","1","-1.24542","134.16298","1"
"3","0","Provinsi Maluku","93","1","-3.110703","128.191171","1"
"4","0","Provinsi Maluku Utara","94","1","-1.3579","127.2948","1"
"5","0","Provinsi Nusa Tenggara Timur","95","1","-9.0074","123.2637","1"
"6","0","Provinsi Nusa Tenggara Barat","96","1","-8.5742","116.0926","1"
"7","91","Kabupaten Jayawijaya","9101","2","-4.007199","138.860208","1"
"8","91","Kabupaten Mimika","9102","2","-4.501027","136.907153","1"
"9","91","Kabupaten Puncak Jaya","9103","2","-4.60071","137.07483","1"
"10","91","Kabupaten Boven Digoel","9104","2","-5.469428","140.264665","1"
"11","91","Kabupaten Lanny Jaya","9105","2","-4.327732","138.745047","1"
"12","91","Kabupaten Nabire","9106","2","-3.370256","135.503171","1"
"13","91","Kabupaten Intan Jaya","9107","2","-3.686511","137.228652","1"
"14","91","Kabupaten Deiyai","9108","2","-3.71485","135.74461","1"
"15","91","Kota Jayapura","9109","2","-2.535128","140.712133","1"
"16","92","Kabupaten Manokwari","9201","2","-0.882706","134.101846","1"
"17","92","Kabupaten Sorong","9202","2","-2.99163","131.26217","1"
"18","92","Kabupaten Raja Ampat","9203","2","-0.2387","130.6516","1"
"19","92","Kabupaten Teluk Bintuni","9204","2","-3.44161","133.14034","1"
"20","92","Kabupaten Teluk Wondama","9205","2","-3.36208","134.22387","1"
"21","93","Kabupaten Maluku Tengah","9301","2","-3.469848","128.126137","1"
"22","93","Kabupaten Seram Bagian Barat","9302","2","-3.281777","128.368992","1"
"23","93","Kabupaten Seram Bagian Timur","9303","2","-3.254883","128.024845","1"
"24","93","Kabupaten Buru","9304","2","-3.477827","126.924469","1"
"25","93","Kota Ambon","9305","2","-3.695","128.1882","1"
"26","94","Kabupaten Halmahera Tengah","9401","2","0.42862","127.5965","1"
"27","94","Kabupaten Halmahera Utara","9402","2","1.278005","127.295015","1"
"28","94","Kabupaten Halmahera Selatan","9403","2","0.14848","127.7404","1"
"29","94","Kabupaten Kepulauan Sula","9404","2","-2.064799","126.762206","1"
"30","94","Kabupaten Morotai","9405","2","2.611141","128.387034","1"
"31","95","Kabupaten Kupang","9501","2","-10.257222","123.687152","1"
"32","95","Kabupaten Timor Tengah Selatan","9502","2","-10.322198","124.719432","1"
"33","95","Kabupaten Timor Tengah Utara","9503","2","-9.738074","124.632198","1"
"34","95","Kabupaten Belu","9504","2","-9.551378","124.127488","1"
"35","95","Kota Kupang","9505","2","-10.177451","123.607258","1"
"36","96","Kabupaten Lombok Timur","9601","2","-8.617345","116.360118","1"
"37","96","Kabupaten Lombok Tengah","9602","2","-8.68205","116.244012","1"
"38","96","Kabupaten Lombok Barat","9603","2","-8.665143","116.075255","1"
"39","96","Kabupaten Sumbawa","9604","2","-8.498185","116.35986","1"
"40","96","Kota Mataram","9605","2","-8.58648","116.16412","1"
"41","96","Kabupaten Sumbawa Barat","9606","2","-8.412174","115.823949","1"
"42","96","Kabupaten Dompu","9607","2","-8.558911","118.726066","1"
"43","96","Kabupaten Bima","9608","2","-8.454443","118.743157","1"
