"nid","parent_nid","name","serial","type","latitude","longitude","status"
"1","0","Provinsi DKI Jakarta","31","1","-6.211544","106.845172","1"
"2","0","Provinsi Jawa Barat","32","1","-7.090911","107.668887","1"
"3","0","Provinsi Jawa Tengah","33","1","-7.150975","110.1402594","1"
"4","0","Provinsi DI Yogyakarta","34","1","-7.8753849","110.4262088","1"
"5","0","Provinsi Jawa Timur","35","1","-7.5360639","112.2384017","1"
"6","0","Provinsi Bali","51","1","-8.4095178","115.188916","1"
"7","32","Kabupaten Bandung","3201","2","-7.0008","107.6687","1"
"8","32","Kabupaten Bandung Barat","3202","2","-6.9496","107.4887","1"
"9","32","Kabupaten Bekasi","3203","2","-6.2369","107.0051","1"
"10","32","Kabupaten Bogor","3204","2","-6.5971","106.7972","1"
"11","32","Kabupaten Ciamis","3205","2","-7.3262","108.3537","1"
"12","32","Kabupaten Cianjur","3206","2","-6.8076","107.1401","1"
"13","32","Kabupaten Cirebon","3207","2","-6.8204","108.5634","1"
"14","32","Kabupaten Garut","3208","2","-7.2029","107.8894","1"
"15","32","Kabupaten Indramayu","3209","2","-6.3276","108.3249","1"
"16","32","Kabupaten Karawang","3210","2","-6.3226","107.3375","1"
"17","32","Kabupaten Kuningan","3211","2","-6.9763","108.4826","1"
"18","32","Kabupaten Majalengka","3212","2","-6.8389","108.2277","1"
"19","32","Kabupaten Pangandaran","3213","2","-7.6136","108.6598","1"
"20","32","Kabupaten Purwakarta","3214","2","-6.5391","107.4387","1"
"21","32","Kabupaten Subang","3215","2","-6.5631","107.7604","1"
"22","32","Kabupaten Sukabumi","3216","2","-6.9409","106.9261","1"
"23","32","Kabupaten Sumedang","3217","2","-6.8493","107.9164","1"
"24","32","Kabupaten Tasikmalaya","3218","2","-7.4503","108.1217","1"
"25","32","Kota Bandung","3219","2","-6.9147","107.6098","1"
"26","32","Kota Bekasi","3220","2","-6.2354","107.0061","1"
"27","32","Kota Bogor","3221","2","-6.5954","106.8167","1"
"28","32","Kota Cimahi","3222","2","-6.8722","107.5429","1"
"29","32","Kota Cirebon","3223","2","-6.7325","108.5523","1"
"30","32","Kota Depok","3224","2","-6.4025","106.7942","1"
"31","32","Kota Sukabumi","3225","2","-6.9285","106.926","1"
"32","32","Kota Tasikmalaya","3226","2","-7.3274","108.2207","1"
"33","33","Kabupaten Banjarnegara","3301","2","-7.3877","109.6637","1"
"34","33","Kabupaten Banyumas","3302","2","-7.5163","109.2902","1"
"35","33","Kabupaten Batang","3303","2","-6.9593","109.7329","1"
"36","33","Kabupaten Blora","3304","2","-6.9769","111.4227","1"
"37","33","Kabupaten Boyolali","3305","2","-7.5225","110.5926","1"
