"nid","parent_nid","name","serial","type","latitude","longitude","status"
"1","0","Provinsi Kalimantan Barat","61","1","-0.2787808","111.4752851","1"
"2","0","Provinsi Kalimantan Tengah","62","1","-1.6814878","113.3823545","1"
"3","0","Provinsi Kalimantan Selatan","63","1","-3.0926415","115.2837585","1"
"4","0","Provinsi Kalimantan Timur","64","1","1.6406296","116.419389","1"
"5","63","Kabupaten Barito Kuala","631","2","-3.168207","114.506837","1"
"6","63","Kabupaten Banjar","632","2","-3.447581","114.611008","1"
"7","63","Kabupaten Tapin","633","2","-3.446197","115.046218","1"
"8","63","Kabupaten Hulu Sungai Selatan","634","2","-3.649125","115.316228","1"
"9","63","Kabupaten Hulu Sungai Tengah","635","2","-2.767174","115.142077","1"
"10","63","Kabupaten Hulu Sungai Utara","636","2","-2.832282","115.030344","1"
"11","63","Kabupaten Tanah Laut","637","2","-3.456287","114.415818","1"
"12","63","Kabupaten Kotabaru","638","2","-3.509321","115.019999","1"
"13","63","Kabupaten Barito Timur","639","2","-2.850584","114.860466","1"
"14","63","Kabupaten Tanah Bumbu","640","2","-3.668884","114.589106","1"
"15","63","Kabupaten Balangan","641","2","-3.691925","115.133893","1"
"16","64","Kota Banjarmasin","641","2","-3.316204","114.593128","1"
"17","64","Kota Banjarbaru","642","2","-3.348877","114.844686","1"
"18","62","Kabupaten Kapuas","621","2","-2.179129","113.728897","1"
"19","62","Kabupaten Pulang Pisau","622","2","-2.468172","113.919263","1"
"20","62","Kabupaten Sukamara","623","2","-2.779237","113.562252","1"
"21","62","Kabupaten Seruyan","624","2","-2.967838","113.736061","1"
"22","62","Kabupaten Katingan","625","2","-1.678623","113.622446","1"
"23","64","Kabupaten Gunung Mas","626","2","-0.905691","113.621631","1"
"24","64","Kabupaten Murung Raya","627","2","-1.823137","113.241636","1"
"25","64","Kabupaten Barito Selatan","628","2","-2.823643","114.685912","1"
"26","61","Kabupaten Sintang","611","2","-0.157775","111.051397","1"
"27","61","Kabupaten Kapuas Hulu","612","2","0.040466","111.169658","1"
"28","61","Kabupaten Melawi","613","2","-0.194399","111.559608","1"
"29","61","Kabupaten Sekadau","614","2","-0.170519","110.635032","1"
"30","61","Kabupaten Sanggau","615","2","-0.243165","110.994537","1"
"31","61","Kabupaten Landak","616","2","-0.417659","110.571462","1"
"32","64","Kota Samarinda","641","2","-0.505137","117.153289","1"
"33","64","Kota Balikpapan","642","2","-1.265793","116.891201","1"
"34","64","Kota Bontang","643","2","-0.033261","117.428737","1"
"35","64","Kota Tarakan","644","2","3.333345","117.601457","1"
"36","64","Kota Nunukan","645","2","3.305728","117.990583","1"
"37","64","Kota Tanjung Selor","646","2","2.635022","117.030054","1"
