"nid","parent_nid","name","serial","type","latitude","longitude","status"
"1","0","Provinsi Sulawesi Utara","71","1","0.6246932","123.9750018","1"
"2","0","Provinsi Sulawesi Tengah","72","1","-1.4300254","121.4456179","1"
"3","0","Provinsi Sulawesi Selatan","73","1","-3.6687994","119.9740534","1"
"4","0","Provinsi Sulawesi Tenggara","74","1","-4.14491","122.174605","1"
"5","0","Provinsi Gorontalo","75","1","0.6999372","122.4467238","1"
"6","0","Provinsi Sulawesi Barat","76","1","-2.8441371","119.2320784","1"
"7","71","Kabupaten Bolaang Mongondow","7101","2","0.525747","124.785233","1"
"8","71","Kabupaten Minahasa","7102","2","1.45317","124.855546","1"
"9","71","Kabupaten Sangihe","7103","2","3.268277","125.487397","1"
"10","71","Kabupaten Talaud","7104","2","3.807378","125.651979","1"
"11","71","Kabupaten Minahasa Selatan","7105","2","1.330092","124.842056","1"
"12","71","Kabupaten Minahasa Utara","7106","2","1.477227","124.870844","1"
"13","71","Kota Manado","7107","2","1.494882","124.846187","1"
"14","72","Kabupaten Banggai","7201","2","-1.355486","122.030578","1"
"15","72","Kabupaten Morowali","7202","2","-2.925163","121.517644","1"
"16","72","Kabupaten Poso","7203","2","-1.733511","120.852025","1"
"17","72","Kabupaten Toli-Toli","7204","2","-0.832352","120.746046","1"
"18","72","Kabupaten Sigi","7205","2","-0.930185","120.708467","1"
"19","72","Kota Palu","7206","2","-0.872563","119.851425","1"
"20","73","Kabupaten Bantaeng","7301","2","-5.042949","119.889392","1"
"21","73","Kabupaten Bone","7302","2","-4.498996","120.124256","1"
"22","73","Kabupaten Bulukumba","7303","2","-5.013185","119.943716","1"
"23","73","Kabupaten Enrekang","7304","2","-3.705394","120.030762","1"
"24","73","Kabupaten Gowa","7305","2","-5.091218","119.684493","1"
"25","73","Kabupaten Jeneponto","7306","2","-5.663823","119.429426","1"
"26","73","Kabupaten Luwu","7307","2","-2.976418","120.004637","1"
"27","73","Kabupaten Luwu Utara","7308","2","-2.950086","120.452846","1"
"28","73","Kabupaten Luwu Timur","7309","2","-3.162023","120.515343","1"
"29","73","Kabupaten Makassar","7310","2","-5.134114","119.432911","1"
"30","73","Kabupaten Maros","7311","2","-4.038986","119.878853","1"
"31","73","Kabupaten Pangkajene dan Kepulauan","7312","2","-4.635881","119.649136","1"
"32","73","Kabupaten Sidrap","7313","2","-3.683152","120.695864","1"
"33","73","Kabupaten Soppeng","7314","2","-4.34464","120.373118","1"
"34","73","Kabupaten Takalar","7315","2","-5.07224","119.442444","1"
"35","73","Kota Makassar","7316","2","-5.134114","119.432911","1"
"36","74","Kabupaten Konawe","7401","2","-3.948764","122.457962","1"
"37","74","Kabupaten Kolaka","7402","2","-3.551043","121.833078","1"
"38","74","Kabupaten Buton","7403","2","-5.485649","122.438785","1"
"39","74","Kabupaten Wakatobi","7404","2","-5.417871","123.649072","1"
"40","74","Kota Kendari","7405","2","-3.95123","122.56054","1"
"41","75","Kabupaten Gorontalo","7501","2","0.6999372","122.4467238","1"
"42","75","Kabupaten Bone Bolango","7502","2","0.602195","122.641028","1"
"43","75","Kota Gorontalo","7503","2","0.597778","123.060011","1"
"44","76","Kabupaten Majene","7601","2","-3.974865","118.941139","1"
"45","76","Kabupaten Mamuju","7602","2","-2.186924","118.924018","1"
"46","76","Kabupaten Mamuju Utara","7603","2","-2.48968","119.03345","1"
"47","76","Kabupaten Polewali Mandar","7604","2","-3.337606","118.679826","1"
