"nid","parent_nid","name","serial","type","latitude","longitude","status"
"1","0","Provinsi Aceh","11","1","4.728275","96.707419","1"
"2","0","Provinsi Sumatera Utara","12","1","3.595196","98.672223","1"
"3","0","Provinsi Sumatera Barat","13","1","-0.827571","100.530618","1"
"4","0","Provinsi Riau","14","1","-0.503257","101.447105","1"
"5","0","Provinsi Jambi","15","1","-1.603579","103.617982","1"
"6","0","Provinsi Sumatera Selatan","16","1","-2.992208","104.775469","1"
"7","0","Provinsi Bengkulu","17","1","-3.799733","102.314515","1"
"8","0","Provinsi Lampung","18","1","-5.397665","105.262717","1"
"9","11","Kabupaten Aceh Besar","1101","2","5.454828","95.337181","1"
"10","11","Kabupaten Aceh Selatan","1102","2","-2.633088","96.725713","1"
"11","11","Kabupaten Aceh Singkil","1103","2","2.374149","97.224026","1"
"12","11","Kabupaten Bener Meriah","1104","2","4.6874","96.9842","1"
"13","11","Kabupaten Bireuen","1105","2","5.181198","96.691512","1"
"14","11","Kabupaten Gayo Lues","1106","2","4.532488","97.426724","1"
"15","11","Kabupaten Nagan Raya","1107","2","4.081125","96.258762","1"
"16","11","Kabupaten Pidie","1108","2","5.176197","96.611204","1"
"17","11","Kabupaten Pidie Jaya","1109","2","5.273106","96.785022","1"
"18","11","Kota Banda Aceh","1110","2","5.550165","95.322645","1"
"19","12","Kabupaten Deli Serdang","1201","2","3.547962","98.630793","1"
"20","12","Kabupaten Karo","1202","2","3.186614","98.518082","1"
"21","12","Kabupaten Langkat","1203","2","3.443545","98.470897","1"
"22","12","Kabupaten Mandailing Natal","1204","2","1.396058","99.344939","1"
"23","12","Kabupaten Nias","1205","2","1.05531","97.58675","1"
"24","12","Kabupaten Simalungun","1206","2","2.881136","99.01944","1"
"25","12","Kabupaten Serdang Bedagai","1207","2","3.378249","99.011925","1"
"26","12","Kabupaten Toba Samosir","1208","2","2.641102","99.126432","1"
"27","12","Kota Medan","1209","2","3.595196","98.672223","1"
"28","13","Kabupaten Agam","1301","2","-0.606721","100.372962","1"
"29","13","Kabupaten Bukittinggi","1302","2","-0.298453","100.373809","1"
"30","13","Kabupaten Limapuluh Kota","1303","2","-0.215193","100.389412","1"
"31","13","Kabupaten Pasaman","1304","2","-0.38139","99.70707","1"
"32","13","Kabupaten Solok","1305","2","-0.569542","100.611962","1"
"33","13","Kota Padang","1306","2","-0.949873","100.416444","1"
"34","14","Kabupaten Bengkalis","1401","2","1.667733","102.153245","1"
"35","14","Kabupaten Dumai","1402","2","-4.199155","101.580136","1"
"36","14","Kabupaten Indragiri Hilir","1403","2","1.164051","102.530256","1"
"37","14","Kabupaten Indragiri Hulu","1404","2","0.813124","101.733734","1"
"38","14","Kabupaten Kampar","1405","2","0.44492","101.686465","1"
"39","14","Kabupaten Kuantan Singingi","1406","2","-1.02502","102.64125","1"
"40","14","Kota Pekanbaru","1407","2","0.50712","101.44853","1"
"41","15","Kabupaten Batang Hari","1501","2","-1.60616","104.75593","1"
"42","15","Kabupaten Bungo","1502","2","-1.198633","102.082219","1"
"43","15","Kabupaten Jambi","1503","2","-1.169864","103.417098","1"
"44","15","Kabupaten Kerinci","1504","2","-2.141363","102.30482","1"
"45","15","Kota Jambi","1505","2","-1.609131","103.601559","1"
"46","16","Kabupaten Banyuasin","1601","2","-3.51175","104.76644","1"
"47","16","Kabupaten Lahat","1602","2","-3.35882","104.77187","1"
"48","16","Kabupaten Muara Enim","1603","2","-3.934335","104.646857","1"
"49","16","Kabupaten Ogan Ilir","1604","2","-3.468016","104.661979","1"
"50","16","Kabupaten Ogan Komering Ilir","1605","2","-3.405203","104.647245","1"
"51","16","Kota Palembang","1606","2","-2.997746","104.775784","1"
"52","17","Kabupaten Bengkulu Utara","1701","2","-3.729325","102.329888","1"
"53","17","Kabupaten Bengkulu Selatan","1702","2","-3.811615","102.317093","1"
"54","17","Kabupaten Kaur","1703","2","-4.062121","103.467719","1"
"55","17","Kabupaten Lebong","1704","2","-3.684998","102.351246","1"
"56","17","Kabupaten Rejang Lebong","1705","2","-3.095029","102.622411","1"
"57","17","Kabupaten Seluma","1706","2","-3.383041","102.646213","1"
"58","17","Kota Bengkulu","1707","2","-3.79503","102.27316","1"
"59","18","Kabupaten Lampung Barat","1801","2","-5.472279","104.468716","1"
"60","18","Kabupaten Lampung Selatan","1802","2","-5.552184","105.266071","1"
"61","18","Kabupaten Lampung Tengah","1803","2","-4.860814","105.271306","1"
"62","18","Kabupaten Lampung Timur","1804","2","-5.572971","105.275274","1"
"63","18","Kota Bandar Lampung","1805","2","-5.397665","105.262717","1"
"64","18","Kabupaten Pesawaran","1806","2","-5.336224","105.116503","1"
"65","18","Kabupaten Tulang Bawang","1807","2","-4.840456","105.390303","1"
"66","18","Kabupaten Tanggamus","1808","2","-5.329607","104.966384","1"
"67","18","Kabupaten Pringsewu","1809","2","-5.287189","105.038773","1"
