"nid","parent_nid","name","serial","type","latitude","longitude","status"
"1","0","Provinsi Jawa Barat","21","1","-6.575601","107.06086","1"
"2","21","Kabupaten Bandung","2101","2","-7.06768","107.64663","1"
"3","21","Kabupaten Bandung Barat","2102","2","-6.886246","107.537645","1"
"4","21","Kabupaten Bekasi","2103","2","-6.202835","107.1067","1"
"5","21","Kabupaten Bogor","2104","2","-6.588622","106.799122","1"
"6","21","Kabupaten Ciamis","2105","2","-7.33469","108.44268","1"
"7","21","Kabupaten Cianjur","2106","2","-6.787111","107.069755","1"
"8","21","Kabupaten Cirebon","2107","2","-6.721716","108.573332","1"
"9","21","Kabupaten Garut","2108","2","-7.23622","107.8784","1"
"10","21","Kabupaten Indramayu","2109","2","-6.354665","108.378754","1"
"11","21","Kabupaten Karawang","2110","2","-6.911649","107.273075","1"
"12","21","Kabupaten Kuningan","2111","2","-6.98353","108.51467","1"
"13","21","Kabupaten Majalengka","2112","2","-6.835283","108.547331","1"
"14","21","Kabupaten Pangandaran","2113","2","-7.420026","108.664928","1"
"15","21","Kabupaten Purwakarta","2114","2","-6.582457","107.457775","1"
"16","21","Kabupaten Subang","2115","2","-6.314207","107.681143","1"
"17","21","Kabupaten Sukabumi","2116","2","-6.952708","106.97932","1"
"18","21","Kabupaten Sumedang","2117","2","-6.820324","107.956099","1"
"19","21","Kota Bandung","2118","2","-6.917464","107.619123","1"
"20","21","Kota Bekasi","2119","2","-6.234264","107.029211","1"
"21","21","Kota Bogor","2120","2","-6.594233","106.789818","1"
"22","21","Kota Cirebon","2121","2","-6.732373","108.560722","1"
"23","21","Kota Depok","2122","2","-6.39251","106.830196","1"
"24","21","Kota Sukabumi","2123","2","-6.892327","106.927103","1"
"25","21","Kota Tasikmalaya","2124","2","-7.327374","108.224944","1"
"26","0","Provinsi DKI Jakarta","31","1","-6.21462","106.84513","1"
"27","31","Kota Administrasi Jakarta Barat","3101","2","-6.179126","106.693025","1"
"28","31","Kota Administrasi Jakarta Pusat","3102","2","-6.175110","106.827153","1"
"29","31","Kota Administrasi Jakarta Selatan","3103","2","-6.262448","106.815334","1"
"30","31","Kota Administrasi Jakarta Timur","3104","2","-6.223094","106.891794","1"
"31","31","Kota Administrasi Jakarta Utara","3105","2","-6.116324","106.822891","1"
"32","31","Kepulauan Seribu","3106","2","-5.588539","106.628601","1"
"33","0","Provinsi Banten","36","1","-6.210108","106.538732","1"
"34","36","Kabupaten Banten","3601","2","-6.258034","106.505551","1"
"35","36","Kabupaten Lebak","3602","2","-6.646021","106.305183","1"
"36","36","Kabupaten Pandeglang","3603","2","-6.26181","105.967525","1"
"37","36","Kabupaten Serang","3604","2","-6.193143","106.143235","1"
"38","36","Kota Cilegon","3605","2","-6.002652","106.042327","1"
"39","36","Kota Serang","3606","2","-6.115999","106.157645","1"
"40","36","Kota Tangerang","3607","2","-6.177681","106.633427","1"
"41","36","Kota Tangerang Selatan","3608","2","-6.298604","106.718443","1"
"42","0","Provinsi Jawa Tengah","33","1","-7.1504","110.4936","1"
"43","33","Kabupaten Banyumas","3301","2","-7.425274","109.287659","1"
"44","33","Kabupaten Batang","3302","2","-6.938788","109.683872","1"
"45","33","Kabupaten Blora","3303","2","-7.063816","111.163145","1"
"46","33","Kabupaten Boyolali","3304","2","-7.513032","110.745575","1"
"47","33","Kabupaten Brebes","3305","2","-6.927659","109.132257","1"
"48","33","Kabupaten Cilacap","3306","2","-7.726303","108.914176","1"
"49","33","Kabupaten Demak","3307","2","-6.927659","110.579964","1"
"50","33","Kabupaten Grobogan","3308","2","-7.00833","110.786194","1"
"51","33","Kabupaten Jepara","3309","2","-6.622221","110.654614","1"
"52","33","Kabupaten Karanganyar","3310","2","-7.608559","110.807329","1"
"53","33","Kabupaten Kebumen","3311","2","-7.674063","109.660114","1"
"54","33","Kabupaten Kendal","3312","2","-7.341683","109.377298","1"
"55","33","Kabupaten Klaten","3313","2","-7.634151","110.596879","1"
"56","33","Kabupaten Kudus","3314","2","-6.794559","110.859757","1"
"57","33","Kabupaten Magelang","3315","2","-7.474198","110.205159","1"
"58","33","Kabupaten Pati","3316","2","-6.824236","110.658917","1"
"59","33","Kabupaten Pekalongan","3317","2","-6.871015","109.579507","1"
"60","33","Kabupaten Pemalang","3318","2","-6.890327","109.379201","1"
"61","33","Kabupaten Purbalingga","3319","2","-7.261116","109.490195","1"
"62","33","Kabupaten Purworejo","3320","2","-7.490294","109.853556","1"
"63","33","Kabupaten Rembang","3321","2","-6.572657","111.02807","1"
"64","33","Kabupaten Semarang","3322","2","-7.154295","110.3685","1"
"65","33","Kabupaten Sragen","3323","2","-7.333682","110.917365","1"
"66","33","Kabupaten Tegal","3324","2","-6.877082","109.145934","1"
"67","0","Provinsi DI Yogyakarta","34","1","-7.795583","110.369489","1"
"68","34","Kabupaten Bantul","3401","2","-7.927221","110.36796","1"
"69","34","Kabupaten Gunungkidul","3402","2","-8.056797","110.516474","1"
"70","34","Kabupaten Kulon Progo","3403","2","-7.49834","110.069343","1"
"71","34","Kota Yogyakarta","3404","2","-7.795583","110.369489","1"
"72","0","Provinsi Jawa Timur","35","1","-7.306418","112.791797","1"
"73","35","Kabupaten Banyuwangi","3501","2","-8.226385","114.420164","1"
"74","35","Kabupaten Blitar","3502","2","-8.057229","112.223329","1"
"75","35","Kabupaten Bojonegoro","3503","2","-7.270168","111.270926","1"
"76","35","Kabupaten Bondowoso","3504","2","-7.920014","113.818165","1"
"77","35","Kabupaten Gresik","3505","2","-7.168123","112.650465","1"
"78","35","Kabupaten Jember","3506","2","-8.167686","113.691413","1"
"79","35","Kabupaten Jombang","3507","2","-7.574673","112.450878","1"
"80","35","Kabupaten Kediri","3508","2","-7.676949","112.007933","1"
"81","35","Kabupaten Lumajang","3509","2","-8.162489","113.232705","1"
"82","35","Kabupaten Mojokerto","3510","2","-7.500947","112.433662","1"
"83","35","Kabupaten Nganjuk","3511","2","-7.601408","111.812837","1"
"84","35","Kabupaten Ngawi","3512","2","-7.371364","111.413619","1"
"85","35","Kabupaten Pacitan","3513","2","-8.164199","111.309611","1"
"86","35","Kabupaten Pamekasan","3514","2","-7.148775","113.492622","1"
"87","35","Kabupaten Pasuruan","3515","2","-7.689266","112.871743","1"
"88","35","Kabupaten Probolinggo","3516","2","-7.894392","113.195159","1"
"89","35","Kabupaten Sampang","3517","2","-7.172779","113.234179","1"
"90","35","Kabupaten Sidoarjo","3518","2","-7.441283","112.713195","1"
"91","35","Kabupaten Situbondo","3519","2","-7.778121","113.803979","1"
"92","35","Kabupaten Sumenep","3520","2","-7.038784","113.908196","1"
"93","35","Kota Batu","3521","2","-7.866635","112.527211","1"
"94","35","Kota Blitar","3522","2","-8.058288","112.223559","1"
"95","35","Kota Kediri","3523","2","-7.647259","112.015387","1"
"96","35","Kota Malang","3524","2","-7.982514","112.632633","1"
"97","35","Kota Pasuruan","3525","2","-7.633927","112.926784","1"
"98","35","Kota Probolinggo","3526","2","-7.9788","113.213684","1"
